filepath,filename,class_name,source,file_hash,split
certificate/degree_certificate_0012.jpg,degree_certificate_0012.jpg,certificate,synthetic,f7435d828588,test
certificate/degree_certificate_0014.jpg,degree_certificate_0014.jpg,certificate,synthetic,94dcbe9d693e,test
certificate/degree_certificate_0028.jpg,degree_certificate_0028.jpg,certificate,synthetic,843c64469f38,test
certificate/degree_certificate_0034.jpg,degree_certificate_0034.jpg,certificate,synthetic,7e3ee588b976,test
certificate/degree_certificate_0043.jpg,degree_certificate_0043.jpg,certificate,synthetic,e6323f6ef886,test
certificate/degree_certificate_0044.jpg,degree_certificate_0044.jpg,certificate,synthetic,c4183d036cbe,test
certificate/degree_certificate_0047.jpg,degree_certificate_0047.jpg,certificate,synthetic,84dd50093119,test
certificate/degree_certificate_0061.jpg,degree_certificate_0061.jpg,certificate,synthetic,fad4649b2d38,test
certificate/degree_certificate_0062.jpg,degree_certificate_0062.jpg,certificate,synthetic,e0e8c8f161ef,test
certificate/degree_certificate_0065.jpg,degree_certificate_0065.jpg,certificate,synthetic,090e3f85b319,test
certificate/degree_certificate_0080.jpg,degree_certificate_0080.jpg,certificate,synthetic,1921402dc7a9,test
certificate/degree_certificate_0085.jpg,degree_certificate_0085.jpg,certificate,synthetic,f14c3756d138,test
certificate/degree_certificate_0091.jpg,degree_certificate_0091.jpg,certificate,synthetic,20e0b9ef50bc,test
certificate/degree_certificate_0098.jpg,degree_certificate_0098.jpg,certificate,synthetic,d8d863804e90,test
certificate/degree_certificate_0099.jpg,degree_certificate_0099.jpg,certificate,synthetic,42586fcda041,test
certificate/degree_certificate_0102.jpg,degree_certificate_0102.jpg,certificate,synthetic,5a7fba519fff,test
certificate/degree_certificate_0120.jpg,degree_certificate_0120.jpg,certificate,synthetic,1caa34176617,test
certificate/degree_certificate_0121.jpg,degree_certificate_0121.jpg,certificate,synthetic,518793dd0d35,test
certificate/degree_certificate_0127.jpg,degree_certificate_0127.jpg,certificate,synthetic,c0558f80841a,test
certificate/degree_certificate_0130.jpg,degree_certificate_0130.jpg,certificate,synthetic,38e47faca324,test
certificate/degree_certificate_0133.jpg,degree_certificate_0133.jpg,certificate,synthetic,c48d9a0c252f,test
certificate/degree_certificate_0159.jpg,degree_certificate_0159.jpg,certificate,synthetic,f39d8c1bcec7,test
certificate/degree_certificate_0160.jpg,degree_certificate_0160.jpg,certificate,synthetic,9b975bdd5ee8,test
certificate/degree_certificate_0161.jpg,degree_certificate_0161.jpg,certificate,synthetic,2636220868db,test
certificate/degree_certificate_0169.jpg,degree_certificate_0169.jpg,certificate,synthetic,d19d2870016b,test
certificate/degree_certificate_0170.jpg,degree_certificate_0170.jpg,certificate,synthetic,7fd102fff667,test
certificate/degree_certificate_0171.jpg,degree_certificate_0171.jpg,certificate,synthetic,562da841eab9,test
certificate/degree_certificate_0178.jpg,degree_certificate_0178.jpg,certificate,synthetic,256f4f8fa437,test
certificate/degree_certificate_0189.jpg,degree_certificate_0189.jpg,certificate,synthetic,1e2229b58cc4,test
certificate/marksheet_10th_0000.jpg,marksheet_10th_0000.jpg,certificate,synthetic,32b126cd6ae8,test
